ts_ms,cpu_pct,rss_kb
1775051208018,11.3,104400
1775051209073,14.2,104400
1775051210113,15.6,104400
1775051211182,8.0,104400
1775051212242,9.5,104400
1775051213284,16.2,104400
1775051214333,16.1,104400
1775051215380,13.9,104400
1775051216445,8.1,104400
1775051217500,10.7,104400
1775051218561,13.2,104400
1775051219616,18.1,104400
1775051220676,9.2,104400
1775051221740,10.2,104400
1775051222792,18.9,104400
1775051223894,10.9,104192
1775051224956,10.4,104368
1775051226008,9.7,104368
1775051227048,18.7,104384
1775051228101,19.1,104384
1775051229158,16.4,104384
1775051230219,11.3,104384
1775051231261,9.6,104368
1775051232303,10.3,104368
1775051233349,12.8,104368
1775051234407,14.4,104368
1775051235474,7.8,104352
1775051236543,8.8,104288
1775051237587,17.5,104288
1775051238640,13.4,104288
1775051239697,11.7,104288
1775051240755,11.9,104272
1775051241808,13.6,104272
1775051242854,11.9,104288
1775051243916,11.5,104304
1775051244982,15.7,104304
1775051246048,9.7,104368
1775051247097,13.2,104368
1775051248169,12.5,104384
1775051249217,12.0,104384
1775051250270,15.6,104384
1775051251326,17.8,104384
1775051252378,9.6,104384
1775051253436,7.5,104384
1775051254508,14.4,104384
1775051255554,17.2,104384
1775051256609,11.4,104384
1775051257656,10.9,104384
1775051258709,8.1,104384
1775051259775,16.0,104384
1775051260817,15.5,104384
1775051261878,9.8,104384
1775051262942,9.0,104400
1775051263987,11.4,104400
1775051265052,16.4,104400
1775051266097,13.8,104400
1775051267154,11.7,104400
1775051268203,10.2,104400
1775051269260,13.6,104400
1775051270315,14.5,104400
1775051271367,14.5,104400
1775051272432,7.7,104400
1775051273494,9.5,104400
1775051274549,18.3,104400
1775051275595,15.9,104400
1775051276646,10.3,104400
1775051277715,10.2,104400
1775051278782,13.7,104400
1775051279838,19.7,104400
1775051280897,9.6,104400
1775051281950,7.7,104400
1775051283003,10.1,104400
1775051284059,12.6,104400
1775051285107,14.5,104400
1775051286160,8.5,104400
1775051287210,10.0,104400
1775051288263,9.2,104400
1775051289304,16.7,104400
1775051290363,15.2,104400
1775051291426,8.6,104400
1775051292483,10.7,104400
1775051293543,9.9,104400
1775051294594,12.5,104400
1775051295655,17.0,104400
1775051296703,11.6,104400
1775051297749,10.3,104400
1775051298798,11.2,104400
1775051299849,17.4,104400
1775051300910,18.4,104400
1775051301952,11.5,104400
1775051302998,13.5,104400
1775051304055,11.6,104400
1775051305102,15.8,104400
1775051306154,16.0,104400
1775051307402,12.0,104352
1775051308591,10.7,104288
1775051309641,8.8,104272
1775051310700,13.3,104288
1775051311759,11.9,104288
1775051312817,13.1,104304
1775051313867,11.9,104304
1775051314931,10.6,104304
1775051316001,9.4,104304
1775051317056,14.6,104304
1775051318114,11.7,104304
1775051319163,12.0,104304
1775051320223,13.6,104304
1775051321266,16.1,104304
1775051322308,16.1,104304
1775051323365,10.7,104304
1775051324420,10.5,104304
1775051325486,13.1,104304
1775051326552,16.7,104304
1775051327602,15.1,104304
1775051328676,8.8,104304
1775051329731,8.1,104304
1775051330803,13.6,104304
1775051331862,15.7,104304
1775051332926,10.1,104304
1775051333998,12.1,104320
1775051335046,15.1,104384
1775051336093,10.5,104384
1775051337150,11.6,104384
1775051338215,11.4,104384
1775051339274,18.1,104384
1775051340324,12.0,104384
1775051341377,13.1,104384
1775051342424,7.7,104384
1775051343476,9.3,104384
1775051344531,11.9,104384
1775051345580,16.4,104384
1775051346623,14.6,104384
1775051347678,9.1,104384
1775051348735,10.6,104384
1775051349803,15.6,104384
1775051350853,16.5,104384
1775051351914,11.4,104384
1775051352971,9.1,104384
1775051354032,16.5,104384
1775051355092,16.4,104384
1775051356138,15.7,104384
1775051357188,10.6,104400
1775051358247,10.7,104400
1775051359303,14.9,104400
